5.10,-1.60,0
394.90,1.60,0
7.22,-1.60,0
392.94,1.60,0
11.77,-1.60,0
388.50,1.60,0
18.15,-1.60,0
382.67,1.60,0
26.64,-1.60,0
374.46,1.60,0
37.60,-1.60,0
364.81,1.60,0
51.06,-1.60,0
353.76,1.60,0
64.91,-1.60,0
341.26,1.60,0
79.51,-1.60,0
329.27,1.60,0
93.49,-1.60,0
316.24,1.60,0
107.95,-1.60,0
303.77,1.60,0
122.06,-1.60,0
292.03,1.60,0
135.68,-1.60,0
279.88,1.60,0
149.81,-1.60,0
267.25,1.60,0
163.42,-1.60,0
255.37,1.60,0
176.94,-1.60,0
243.52,1.60,0
190.92,-1.60,0
230.52,1.60,0
205.20,-1.60,0
217.56,1.60,0
218.66,-1.60,0
205.69,1.60,0
232.85,-1.60,0
193.70,1.60,0
246.57,-1.60,0
181.87,1.60,0
260.55,-1.60,0
169.39,1.60,0
275.21,-1.60,0
157.32,1.60,0
289.09,-1.60,0
144.73,1.60,0
302.88,-1.60,0
131.92,1.60,0
317.02,-1.60,0
119.78,1.60,0
330.97,-1.60,0
107.94,1.60,0
344.62,-1.60,0
95.10,1.60,0
359.17,-1.60,0
82.16,1.60,0
372.74,-1.60,0
69.57,1.60,0
386.63,-1.60,0
57.76,1.60,0
44.95,1.60,0
32.97,1.60,0
20.74,1.60,0
8.31,1.60,0
